regime,stock,mean_return,win_rate,count
LOW,ONGC,1.97,48.0,1163
LOW,Reliance,0.34,41.8,1163
LOW,BPCL,2.98,55.6,1163
LOW,IndiGo,1.69,20.6,1163
LOW,Maruti,2.32,56.5,1163
LOW,Mahindra,1.47,53.1,1163
LOW,Asian Paints,2.95,67.6,1163
LOW,Pidilite,3.17,63.0,1163
LOW,HUL,2.37,60.6,1163
LOW,ITC,1.55,60.2,1163
LOW,HDFC Bank,1.73,54.6,1163
LOW,SBI,1.11,49.7,1163
LOW,TCS,3.09,63.3,1163
LOW,Infosys,1.75,61.7,1163
ELEVATED,ONGC,1.76,54.0,1895
ELEVATED,Reliance,1.86,58.4,1895
ELEVATED,BPCL,2.7,55.0,1895
ELEVATED,IndiGo,2.2,39.9,1895
ELEVATED,Maruti,2.18,61.5,1895
ELEVATED,Mahindra,2.71,62.4,1895
ELEVATED,Asian Paints,3.56,67.0,1895
ELEVATED,Pidilite,4.43,65.8,1895
ELEVATED,HUL,2.26,59.6,1895
ELEVATED,ITC,1.95,60.6,1895
ELEVATED,HDFC Bank,2.38,66.4,1895
ELEVATED,SBI,2.49,59.1,1895
ELEVATED,TCS,3.04,62.4,1895
ELEVATED,Infosys,2.16,63.1,1895
HIGH,ONGC,3.48,59.3,646
HIGH,Reliance,2.36,55.6,646
HIGH,BPCL,2.77,60.8,646
HIGH,IndiGo,1.49,37.0,646
HIGH,Maruti,4.2,63.3,646
HIGH,Mahindra,4.9,63.0,646
HIGH,Asian Paints,3.18,61.3,646
HIGH,Pidilite,2.45,56.0,646
HIGH,HUL,1.54,53.1,646
HIGH,ITC,2.49,63.5,646
HIGH,HDFC Bank,3.82,61.1,646
HIGH,SBI,2.69,57.9,646
HIGH,TCS,0.89,55.4,646
HIGH,Infosys,1.59,53.9,646
CRISIS,ONGC,0.35,48.7,409
CRISIS,Reliance,5.77,66.5,409
CRISIS,BPCL,6.07,70.2,409
CRISIS,IndiGo,-0.03,25.4,409
CRISIS,Maruti,2.31,62.1,409
CRISIS,Mahindra,4.35,65.5,409
CRISIS,Asian Paints,-0.64,47.4,409
CRISIS,Pidilite,-0.59,51.1,409
CRISIS,HUL,2.89,68.2,409
CRISIS,ITC,3.25,69.9,409
CRISIS,HDFC Bank,1.59,53.1,409
CRISIS,SBI,0.11,51.1,409
CRISIS,TCS,1.25,56.7,409
CRISIS,Infosys,2.25,57.7,409
